"","lat","lon","boxName","boxId","unit","value","DATE"
"3771",53.565064,9.965221,"AltonaerStrasse","58e932e2ba279000114e6032","%",99.9,"2018-10-13"
"9007",53.565064,9.965221,"AltonaerStrasse","58e932e2ba279000114e6032","%",99.9,"2018-10-04"
"21001",53.544046,9.997499,"Hafencity - Am Standtorkai/Osakaallee","590e0b0a51d3460011c725c4","%",99.9,"2018-10-13"
"26144",53.544046,9.997499,"Hafencity - Am Standtorkai/Osakaallee","590e0b0a51d3460011c725c4","%",99.9,"2018-10-04"
"40554",53.556269,10.010345,"Hamburg-St. Georg","5b816cce7c51910019888ed6","%",77.95,"2018-10-04"
"52463",53.555419,9.944627,"Chemnitzstrasse","5bafbe1a043f3f001b3fc777","%",58.8,"2018-10-13"
"52627",53.555419,9.944627,"Chemnitzstrasse","5bafbe1a043f3f001b3fc777","%",79.7,"2018-10-13"
